cp_flag,midpoint,strike_price,spot,time_to_maturity_years,hv_tenor_days,historical_volatility,tenor_gap_days,bs_price_hv,bs_error,nr_implied_vol,iv_error_vs_hv
C,43.075,530.0,527.76,0.8767123287671232,365.0,0.25361,45.0,50.9688823954973,7.8938823954973,,
C,38.825,540.0,527.76,0.8767123287671232,365.0,0.25361,45.0,46.56081092831582,7.735810928315814,,
C,34.95,550.0,527.76,0.8767123287671232,365.0,0.25361,45.0,42.456160231520386,7.506160231520383,,
C,31.375,560.0,527.76,0.8767123287671232,365.0,0.25361,45.0,38.64447654746266,7.269476547462659,,
C,28.1,570.0,527.76,0.8767123287671232,365.0,0.25361,45.0,35.11420569364961,7.0142056936496076,,
C,25.125,580.0,527.76,0.8767123287671232,365.0,0.25361,45.0,31.852930019581805,6.727930019581805,,
C,22.4,590.0,527.76,0.8767123287671232,365.0,0.25361,45.0,28.847593218615543,6.447593218615545,,
C,20.025,600.0,527.76,0.8767123287671232,365.0,0.25361,45.0,26.084709406286038,6.059709406286039,,
C,17.775,610.0,527.76,0.8767123287671232,365.0,0.25361,45.0,23.550553928462534,5.775553928462536,,
C,15.85,620.0,527.76,0.8767123287671232,365.0,0.25361,45.0,21.231334306152604,5.381334306152604,,
C,14.075,630.0,527.76,0.8767123287671232,365.0,0.25361,45.0,19.11334054315367,5.038340543153669,,
C,12.5,640.0,527.76,0.8767123287671232,365.0,0.25361,45.0,17.183074711814584,4.683074711814584,,
C,11.1,650.0,527.76,0.8767123287671232,365.0,0.25361,45.0,15.427360291935841,4.327360291935841,,
C,9.85,660.0,527.76,0.8767123287671232,365.0,0.25361,45.0,13.83343217476498,3.98343217476498,,
C,8.8,670.0,527.76,0.8767123287671232,365.0,0.25361,45.0,12.38900856833581,3.58900856833581,,
C,7.800000000000001,680.0,527.76,0.8767123287671232,365.0,0.25361,45.0,11.082346264554545,3.282346264554544,,
C,6.85,690.0,527.76,0.8767123287671232,365.0,0.25361,45.0,9.902280866130155,3.0522808661301557,,
C,6.225,700.0,527.76,0.8767123287671232,365.0,0.25361,45.0,8.838253636574422,2.613253636574422,,
C,5.5,710.0,527.76,0.8767123287671232,365.0,0.25361,45.0,7.880326642526583,2.380326642526583,,
C,4.925,720.0,527.76,0.8767123287671232,365.0,0.25361,45.0,7.01918781714609,2.09418781714609,,
C,4.4,730.0,527.76,0.8767123287671232,365.0,0.25361,45.0,6.246147497590364,1.8461474975903638,,
C,3.95,740.0,527.76,0.8767123287671232,365.0,0.25361,45.0,5.553127888631842,1.6031278886318416,,
C,3.55,750.0,527.76,0.8767123287671232,365.0,0.25361,45.0,4.932646786765531,1.3826467867655312,,
C,3.2,760.0,527.76,0.8767123287671232,365.0,0.25361,45.0,4.377796771843855,1.1777967718438545,,
C,2.785,770.0,527.76,0.8767123287671232,365.0,0.25361,45.0,3.8822209421068052,1.097220942106805,,
C,2.565,780.0,527.76,0.8767123287671232,365.0,0.25361,45.0,3.4400861380090078,0.8750861380090078,,
C,2.085,800.0,527.76,0.8767123287671232,365.0,0.25361,45.0,2.695253877335979,0.6102538773359791,,
P,53.175,530.0,527.76,0.8767123287671232,365.0,0.25361,45.0,48.58261620818624,-4.592383791813759,,
P,59.05,540.0,527.76,0.8767123287671232,365.0,0.25361,45.0,54.08725669973475,-4.962743300265245,,
P,65.2,550.0,527.76,0.8767123287671232,365.0,0.25361,45.0,59.89531796166915,-5.304682038330853,,
P,71.625,560.0,527.76,0.8767123287671232,365.0,0.25361,45.0,65.9963462363416,-5.628653763658406,,
P,78.45,570.0,527.76,0.8767123287671232,365.0,0.25361,45.0,72.37878734125837,-6.071212658741629,,
P,85.42500000000001,580.0,527.76,0.8767123287671232,365.0,0.25361,45.0,79.0302236259206,-6.394776374079413,,
P,100.45,600.0,527.76,0.8767123287671232,365.0,0.25361,45.0,93.08742693008475,-7.362573069915257,,
P,116.175,620.0,527.76,0.8767123287671232,365.0,0.25361,45.0,108.05947574741134,-8.115524252588656,,
C,0.58,1000.0,527.76,0.8767123287671232,365.0,0.25361,45.0,0.2098445938479232,-0.37015540615207676,,
